,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
669,Embraer Sa,1,0,1,1.0
670,Comp Air Inc. (Plambeck),1,0,1,1.0
671,Vertical Unlimited Llc,1,0,1,1.0
672,Titan,1,0,1,1.0
673,Millhouse D Scott,1,0,1,1.0
674,Remos Aircraft Gmbh Flugzeugba,1,0,1,1.0
675,American Eurocopter,1,0,1,1.0
676,Avions Mudry Et Cie,1,0,1,1.0
677,Nickel,1,0,1,1.0
678,Greg Connell,1,0,1,1.0
679,Dayton-Wright,1,0,1,1.0
680,Piaggio Aero Industries S.P.A.,1,0,1,1.0
681,Diamond Aircraft,1,0,1,1.0
682,Beagle,1,0,1,1.0
683,Shannon James A Jr,1,0,1,1.0
684,Liberty,1,0,1,1.0
685,Waco Classic Aircraft,1,0,1,1.0
686,Conway Philip J,1,0,1,1.0
687,Rivers Lindsey Lee,1,0,1,1.0
688,Hillery W. Grice,1,0,1,1.0
689,Mcdonald Douglas,1,0,1,1.0
690,Aerofab,1,0,1,1.0
691,Amd,1,0,1,1.0
692,Keesler,1,0,1,1.0
693,Pietsch,1,0,1,1.0
694,Gates Learjet Corporation,1,0,1,1.0
695,Robertson,1,0,1,1.0
696,Acroduster,1,0,1,1.0
697,Gulfstream Schweizer A/C Corp,1,0,1,1.0
698,Joplin,1,0,1,1.0
699,Lorentzen,1,0,1,1.0
700,Cosmos,1,0,1,1.0
701,Hopkins,1,0,1,1.0
702,Progressive Aerodyne,1,0,1,1.0
703,Nord,1,0,1,1.0
704,English Electric Lightning,1,0,1,1.0
705,Birchler Boyd,1,0,1,1.0
706,Israel Aerospace Industriesltd,1,0,1,1.0
707,Rutten Phil J,1,0,1,1.0
708,Bereznak,1,0,1,1.0
709,Goudie,1,0,1,1.0
710,Grahn J/Grahn G,1,0,1,1.0
711,Storm Fury,1,0,1,1.0
712,Sharp Ralph R,1,0,1,1.0
713,Rutan,1,0,1,1.0
714,Ridge Lowell H,1,0,1,1.0
715,Mathis Melvin R,1,0,1,1.0
716,Skykits Corporation,1,0,1,1.0
717,Evans Aircraft,1,0,1,1.0
718,Viking Air Limited,1,0,1,1.0
719,Monnett,1,0,1,1.0
720,Trudel,1,0,1,1.0
721,Refling,1,0,1,1.0
722,Huntington,1,0,1,1.0
723,Adkins,1,0,1,1.0
724,Hubbell,1,0,1,1.0
725,Crow,1,0,1,1.0
726,Spackman,1,0,1,1.0
727,Crawford,1,0,1,1.0
728,Interstate,1,0,1,1.0
729,Airtime Aircraft Inc,1,0,1,1.0
730,James B. Taplin,1,0,1,1.0
731,Peay,1,0,1,1.0
732,Rans Inc.,1,0,1,1.0
733,Klaas Development Inc,1,0,1,1.0
734,Foxworthy Rick A,1,0,1,1.0
735,Columbia Aircraft Mfg,1,0,1,1.0
736,Wells Elgin M,1,0,1,1.0
737,Bobbi Boucher,1,0,1,1.0
738,Brm Aero Sro,1,0,1,1.0
739,Ferguson William C,1,0,1,1.0
740,M7 Aerospace Llc,1,0,1,1.0
741,C A S A,1,0,1,1.0
742,Fairley Gooch,1,0,1,1.0
743,Hallbauer,1,0,1,1.0
744,Evektor Aerotechnik As,1,0,1,1.0
745,Grob Aircraft Ag,1,0,1,1.0
746,Progressive Aerodyne Inc,1,0,1,1.0
747,Eads Socata,1,0,1,1.0
748,Stephen J Hoffman,0,1,1,0.0
