,Make,N.Fatal.Crashes,N.Non.Fatal.Crashes,Total.Crashes,ratio.fatal.to.tot
155,Quad City,3,0,3,1.0
156,Extra Flugzeugproduktions-Und,3,0,3,1.0
157,Amateur Built Aircraft,3,0,3,1.0
158,Moravan,2,0,2,1.0
159,Airplane Factory (Pty) Ltd,2,0,2,1.0
160,Extra Flugzeugbau Gmbh,2,0,2,1.0
161,Czech Sport,2,0,2,1.0
162,Czech Aircraft Works,2,0,2,1.0
163,Grob-Werke,2,0,2,1.0
164,Stearman,2,0,2,1.0
165,"Wolseley Motors, Inc.",2,0,2,1.0
166,Remos Acft Gmbh Flugzeugbau,2,0,2,1.0
167,Let,2,0,2,1.0
168,Honda Aircraft,1,1,2,0.5
169,Aerospatiale,1,1,2,0.5
170,Vans Aircraft Inc,2,0,2,1.0
171,Icon Aircraft Inc,2,0,2,1.0
172,American Champion,2,0,2,1.0
173,Ayres Thrush,2,0,2,1.0
174,"Thrush Aircraft, Inc.",2,0,2,1.0
175,Dornier Gmbh,2,0,2,1.0
176,Ted Smith,2,0,2,1.0
177,Found Acft Canada Inc,2,0,2,1.0
178,Honda Aircraft Co Llc,1,1,2,0.5
179,Gates Lear Jet Corp.,1,1,2,0.5
180,"Smith, Ted Aerostar",2,0,2,1.0
181,Republic,2,0,2,1.0
182,Ercoupe (Eng & Research Corp.),2,0,2,1.0
183,Johnson,2,0,2,1.0
184,Daher,2,0,2,1.0
185,Varga,2,0,2,1.0
186,737,2,0,2,1.0
187,Curtiss-Wright,2,0,2,1.0
188,Liberty Aerospace,2,0,2,1.0
189,Neiva,2,0,2,1.0
190,North American/Aero Classics,2,0,2,1.0
191,Jackson,2,0,2,1.0
192,Gippsland,2,0,2,1.0
193,Mx Aircraft Llc,2,0,2,1.0
194,Quickie,2,0,2,1.0
195,Fpna Llc,2,0,2,1.0
196,American Legend,2,0,2,1.0
197,Eagle Aircraft Co.,2,0,2,1.0
198,Iai,2,0,2,1.0
199,Fantasy Air,2,0,2,1.0
200,L-Bird Llc,2,0,2,1.0
201,Commander,2,0,2,1.0
202,Glasair,2,0,2,1.0
203,Monocoupe,2,0,2,1.0
204,Embraer S.A.,2,0,2,1.0
205,Edge,2,0,2,1.0
206,Construcciones Aeronauticas Sa,2,0,2,1.0
207,Zlin,2,0,2,1.0
208,Price,1,0,1,1.0
209,Pridmore,1,0,1,1.0
210,Aero Vodochody Aero. Works,1,0,1,1.0
211,Universal Stinson,1,0,1,1.0
212,Mudry,1,0,1,1.0
213,Schmidt Albert D,1,0,1,1.0
214,S.O.C.A.T.A.,1,0,1,1.0
215,League,1,0,1,1.0
216,Raytheon Corporate Jets Inc,1,0,1,1.0
217,Xtremeair Gmbh,1,0,1,1.0
218,Chrapczynski,1,0,1,1.0
219,Goodyear,1,0,1,1.0
220,Wag-Aero,1,0,1,1.0
221,Spezio,1,0,1,1.0
222,Spitfire,1,0,1,1.0
223,Zodiac,1,0,1,1.0
224,Mercer,1,0,1,1.0
225,Stamper,1,0,1,1.0
226,Hansen Ib C,1,0,1,1.0
227,Flugzeugproduktions-Und Vertri,1,0,1,1.0
228,Bryan C L/Labrash R D,1,0,1,1.0
229,Smith Aerostar,1,0,1,1.0
230,Sons Mustang,1,0,1,1.0
231,Erick Magno & Assoc Pa,1,0,1,1.0
232,Vashon Aircraft,1,0,1,1.0
233,Stampe Renard,1,0,1,1.0
234,Seibert Robert M,1,0,1,1.0
235,Aerotek,1,0,1,1.0
236,Ogg Richard A,1,0,1,1.0
237,Gordon Scot A,1,0,1,1.0
238,Dassault Falcon,1,0,1,1.0
239,Lavia Argentina,1,0,1,1.0
240,Rans Aircraft,1,0,1,1.0
241,Hrosik Gene,1,0,1,1.0
242,Coot,1,0,1,1.0
243,Wright B Flyer Inc,1,0,1,1.0
244,Craig D Carter,1,0,1,1.0
245,S D Martin,1,0,1,1.0
246,Icon,1,0,1,1.0
247,Sonex Limited,1,0,1,1.0
248,Turbo Thrush,1,0,1,1.0
249,Little Eagle,1,0,1,1.0
250,Michael Adamczyk,1,0,1,1.0
251,Supinski Mark R,1,0,1,1.0
252,Gulfstream Aerospace Corp,1,0,1,1.0
253,Liteflite Pty Ltd,1,0,1,1.0
254,Amorde,1,0,1,1.0
255,American Champion Aircraft Cor,1,0,1,1.0
256,Fritz Neumeyer,1,0,1,1.0
257,Fairchild(Howard),1,0,1,1.0
258,Evolution 19,1,0,1,1.0
259,Brm Aero,1,0,1,1.0
260,Hillard Charlie R,1,0,1,1.0
261,Zenith Acft Co,1,0,1,1.0
262,Cross-Capps,1,0,1,1.0
263,Sport Flight,1,0,1,1.0
264,Andrew Mckimmon,1,0,1,1.0
265,Schoepflin,1,0,1,1.0
266,Aerostar S A,1,0,1,1.0
267,Rogers,1,0,1,1.0
268,Evektor-Aerotechnik,1,0,1,1.0
269,Randall Marvin L,1,0,1,1.0
270,Carlton M. Cadwell,1,0,1,1.0
271,Tupolev,1,0,1,1.0
272,Gulfstream Aerospace Corp.,1,0,1,1.0
273,Extra Flugzeugbau,1,0,1,1.0
274,Quest Aircraft Company,1,0,1,1.0
275,Pitts Aerobatics,1,0,1,1.0
276,Foster William D,1,0,1,1.0
277,Dta Sari,1,0,1,1.0
278,Bosonetto,1,0,1,1.0
279,Doggett Jack,1,0,1,1.0
280,Ely,1,0,1,1.0
281,Belcher,1,0,1,1.0
282,"Allied Ag Cat Productions, Inc",1,0,1,1.0
283,Bruce E. Hotz,1,0,1,1.0
284,Rogers Kenneth J,1,0,1,1.0
285,Von Berg,1,0,1,1.0
286,Palen,1,0,1,1.0
287,Nihon,1,0,1,1.0
288,Softex Invest Llc,1,0,1,1.0
289,C A Tecnam Srl,1,0,1,1.0
290,Bender,1,0,1,1.0
291,Q-Berry,1,0,1,1.0
292,Jm Kemp,1,0,1,1.0
293,British Aircraft Corp,1,0,1,1.0
294,Airplane Factory,1,0,1,1.0
295,Cruiser,1,0,1,1.0
296,Pearson,1,0,1,1.0
297,Howard Steven C,1,0,1,1.0
298,Krueger,1,0,1,1.0
299,James A Gray,1,0,1,1.0
300,Morane-Saulnier,1,0,1,1.0
301,"Nichols Rans, Inc.",1,0,1,1.0
302,Lepow David A,1,0,1,1.0
303,Mcdaniels,1,0,1,1.0
304,Clamar Floats Inc,1,0,1,1.0
305,Mxr Technologies Inc,1,0,1,1.0
306,Board James A,1,0,1,1.0
307,Whittman,1,0,1,1.0
308,Mkii Corporation,1,0,1,1.0
309,Diamond Aircraft Industries In,1,0,1,1.0
310,Boyd Bruce,1,0,1,1.0
311,Hall Terrence / Hall Cathie,1,0,1,1.0
312,Skybolt,1,0,1,1.0
313,Na,1,0,1,1.0
314,Nakajima,1,0,1,1.0
315,Raytheon Company,1,0,1,1.0
316,Dauntless,1,0,1,1.0
317,Velocity Inc,1,0,1,1.0
318,Bowles Chris,1,0,1,1.0
319,Czech Sport Aircraft,1,0,1,1.0
320,Airborne Windsports Ltd,1,0,1,1.0
321,Challenger,1,0,1,1.0
322,Aircraft Mfg & Design Llc,1,0,1,1.0
323,Aeropro Cz,1,0,1,1.0
324,Pzl Okecie,1,0,1,1.0
325,Rose Herbert D,1,0,1,1.0
326,"Jabiru Usa Sport Aircraft, Llc",1,0,1,1.0
327,Schumacher,1,0,1,1.0
328,Mileski,1,0,1,1.0
329,Aircraft Mfg & Development Co,1,0,1,1.0
330,Cozy,1,0,1,1.0
331,Hogan,1,0,1,1.0
332,Warth Dennis J,1,0,1,1.0
333,Mudge Ray,1,0,1,1.0
334,Roetman Ryland K Jr,1,0,1,1.0
335,Jurmu,1,0,1,1.0
336,Aermacchi,1,0,1,1.0
337,Pioneer,1,0,1,1.0
338,Brown Joseph,1,0,1,1.0
339,Forster,1,0,1,1.0
340,Freeman Heritage Collection,1,0,1,1.0
341,Rotherwick Hr,1,0,1,1.0
342,Mayo,1,0,1,1.0
343,Gates Learjet Corp,1,0,1,1.0
344,Tatelman-Pitts,1,0,1,1.0
345,Partenavia Spa,1,0,1,1.0
346,Diamond Aircraft Industry Inc,1,0,1,1.0
347,Edson Robert W,1,0,1,1.0
348,Silvaire,1,0,1,1.0
349,Kuykendall Charles,1,0,1,1.0
350,Thompson,1,0,1,1.0
351,Arctic,1,0,1,1.0
352,Wagaero,1,0,1,1.0
353,Willerton,1,0,1,1.0
354,Northrop,1,0,1,1.0
355,Titan Aerospace Holdings Inc,1,0,1,1.0
356,Ostertag Walter G,1,0,1,1.0
357,Eipper,1,0,1,1.0
358,Amature Built,1,0,1,1.0
359,Comco Ikarus,1,0,1,1.0
360,"Wrb Associates, Llc.",1,0,1,1.0
361,Yakovlev/Chinnery,1,0,1,1.0
362,Giboney,1,0,1,1.0
363,Mcdonnell Douglas Corporation,1,0,1,1.0
364,Forisch Edward,1,0,1,1.0
365,Mxr Technologies,1,0,1,1.0
366,Lankenau,1,0,1,1.0
367,Maule Aircraft Corp,1,0,1,1.0
368,"Halderman, Floyd G.",1,0,1,1.0
369,Halbrook,1,0,1,1.0
370,Dacey,1,0,1,1.0
371,Mcfarland Wm H,1,0,1,1.0
372,Sabreliner Corp.,1,0,1,1.0
373,Stits Flut-R-Bug,1,0,1,1.0
374,Aerotechnik,1,0,1,1.0
375,Fairchild Industries,1,0,1,1.0
376,University Of Kansas,0,1,1,0.0
377,Sutphin John E,0,1,1,0.0
378,Pepperd Greg J,0,1,1,0.0
379,Sorrel,0,1,1,0.0
380,Marquart,0,1,1,0.0
381,777,0,1,1,0.0
382,Aficionado,0,1,1,0.0
383,Harbin,0,1,1,0.0
384,Columbia,0,1,1,0.0
385,Gulfstream Aerospace Lp,0,1,1,0.0
386,Facebook Uk Ltd,0,1,1,0.0
387,British Aerospace Civil Aircr,0,1,1,0.0
388,Kitfox,0,1,1,0.0
389,Short Brothers & Harland Ltd.,0,1,1,0.0
390,Saab-Scania Ab,0,1,1,0.0
391,Kaman,0,1,1,0.0
392,Aerosport Ltd,1,0,1,1.0
393,Nunn,0,1,1,0.0
394,Raytheon Co,0,1,1,0.0
395,Piaggio Industrie,0,1,1,0.0
396,Short Bros.,0,1,1,0.0
397,Fairchild/Swearingen,0,1,1,0.0
398,Bac,0,1,1,0.0
399,Waco Classic Aircraft Corp,1,0,1,1.0
400,Lawrence O Nolte,1,0,1,1.0
401,Nasdalla,1,0,1,1.0
402,Murphy Aircraft,1,0,1,1.0
403,Cobalt Aircraft Industries Inc,1,0,1,1.0
404,Blackshape,1,0,1,1.0
405,Harms,1,0,1,1.0
406,Meyers,1,0,1,1.0
407,Bell,1,0,1,1.0
408,Halladay Roy,1,0,1,1.0
409,Saab-Scania,1,0,1,1.0
410,Wsk-Pzl Meilec,1,0,1,1.0
411,M7 Aerospace,1,0,1,1.0
412,Kolb,1,0,1,1.0
413,Ultramagic Sa,1,0,1,1.0
414,Mitchell,1,0,1,1.0
415,Hansen,1,0,1,1.0
416,Embraer Aircraft,1,0,1,1.0
